epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1457.28,0.61013,0.35501,0.98757,0.99364,0.9936,0.99471,0.88699,0.51365,0.26089,0.88887,0.0005941,0.0005941,0.0005941
43,1491.9,0.60374,0.3566,0.98495,0.99548,0.99712,0.99482,0.89196,0.50407,0.25758,0.8834,0.0005842,0.0005842,0.0005842
44,1526.84,0.60011,0.34945,0.97753,0.99371,0.99524,0.99464,0.89201,0.49472,0.25909,0.87526,0.0005743,0.0005743,0.0005743
45,1561.69,0.59424,0.34845,0.97704,0.9967,0.99711,0.99459,0.89799,0.47944,0.2459,0.87409,0.0005644,0.0005644,0.0005644
46,1596.52,0.59298,0.34449,0.97269,0.99329,0.99776,0.99447,0.89377,0.48829,0.25384,0.87441,0.0005545,0.0005545,0.0005545
47,1631.29,0.5896,0.34038,0.96639,0.99746,0.99512,0.9945,0.89897,0.47812,0.24615,0.86521,0.0005446,0.0005446,0.0005446
48,1666.91,0.59311,0.34725,0.97763,0.99429,0.99683,0.99466,0.89697,0.48749,0.2499,0.88018,0.0005347,0.0005347,0.0005347
49,1705.99,0.58021,0.3356,0.97095,0.99357,0.99808,0.99477,0.90119,0.47594,0.243,0.87161,0.0005248,0.0005248,0.0005248
50,1740.3,0.57768,0.33651,0.96399,0.99246,0.99808,0.99475,0.90468,0.46842,0.24431,0.86448,0.0005149,0.0005149,0.0005149
51,1775,0.56524,0.32921,0.96671,0.99492,0.9975,0.9947,0.91036,0.46056,0.23944,0.86029,0.000505,0.000505,0.000505
52,1809.66,0.56634,0.32915,0.95567,0.99546,0.99747,0.99486,0.90919,0.45537,0.23537,0.86037,0.0004951,0.0004951,0.0004951
53,1844.25,0.55319,0.32267,0.95835,0.99692,0.99711,0.9949,0.907,0.45848,0.23529,0.85924,0.0004852,0.0004852,0.0004852
54,1878.81,0.554,0.32547,0.95584,0.99626,0.99563,0.99487,0.90663,0.44879,0.23732,0.85607,0.0004753,0.0004753,0.0004753
55,1913.39,0.54449,0.31675,0.95062,0.99512,0.99684,0.99492,0.90908,0.44786,0.23093,0.85395,0.0004654,0.0004654,0.0004654
